neighborhood,description,history,vibe,activities_attractions
belltown,"High-rise condos, swanky boutiques, and a trendy nightlife have helped Belltown earn its reputation as one of the hippest neighborhoods in Seattle.","We all know that Seattle has some major ups and downs (elevation-wise, of course), but no area was as steep as the region just north of downtown. After years of debating, city developers decided to do the most logical thing: remove the hill itself. The project, known as the Denny Regrade, took the better part of a decade around 1910 and trimmed back tons of earth, leaving the slope more manageable. Despite the new topography, growth didn’t happen as rapidly as hoped. Several businesses set up shop there, but instead of the grand hotels and skyscrapers there were car dealerships and warehouses.It wasn’t until the 1970s that Belltown got a facelift; the area was rezoned for high-rise residences with ample business spaces on street level. Young, trendy folks moved in and made their homes, bringing with them a unique culture that survives today.","Belltown has the second highest Walk Score in the city at 97 out of 100. What this means is: sell your car. You won’t be needing it. Everything you could conceivably ask for is available within the borders of this small neighborhood. And while the mere mention of the place strikes up my inner techno music (uhnn-tss, uhnn-tss), there is far more to Belltown than its nightclub scene. Even during the day, it’s the place to go if you want the newest, the shiniest, the trendiest.","Oh, where to start? The main ‘strip’ of Belltown is 1st Avenue, running parallel to the waterfront and on into downtown. Along this street, you’ll find a gaggle of places to stop: art galleries, clothing stores, home furnishing shops, jewelers, salons, and of course places to eat and drink.Some of the classic venues are The 5 Point Café, The Crocodile (closed for a while, but back by demand of live-music-lovers), and the very vintage Cinerama movie theater. Newer, highly popular additions include Dahlia Lounge, List (an Italian lounge), and Bathtub Gin & Co., a delightful speakeasy tucked in an alley. For a little fresh air, scope out the Olympic Sculpture Park to enjoy the many art installations by local artists, not to mention the view of Puget Sound and the Olympic mountains beyond."
broadmoor,"Broadmoor is a gated community on the east side of Capitol Hill. It is bordered on three sides by the Washington Park Arboretum, which only adds to its secluded and private atmosphere, plus it is home to the Broadmoor Golf Club.","Long before the area was settled, the Puget Mill Company snapped up this land and began logging the trees. Then, during the time of the development of the University of Washington, who wanted to create the arboretum, part of the land was traded for that cause in return for utility work for a new residential community. As a result, Broadmoor was made possible. Since then, more land has been gained to make the Broadmoor Golf Club.","The atmosphere here is a lot like you would imagine from a gated community; incredible houses (of which, according to Zillow, none are less than 1800 square feet), immaculate landscaping, and quiet, weaving streets. One of the charms of the neighborhood is the variety of house styles; there are no two that are alike, which is different from some other residential communities.","Broadmoor doesn’t have a business district to call its own, but that doesn’t matter because of its close proximity to the amenities in Madison Park, Capitol Hill, and Montlake. A quick glance at the community blog shows that they have plenty of events to get together as a community, from potluck dinners to a 4th of July parade. If you do end up living here, make sure to join the golf club, or at very least try and find someone you know who is having a wedding reception there!"
capitol-hill,"Contrary to what its name would imply, there is no capitol to be found in Capitol Hill. Unless you consider the neighborhood to be the capitol of cool, that is.","There are two stories as to why city officials changed the name from Broadway Hill to Capitol Hill. Some say that the original developer’s wife simply liked the way it sounded, while others think he hoped that the state would actually move the capitol to that area.In its early days, the neighborhood was certainly ritzy enough to be the political center of the state. Huge houses were built, which led to the nickname of “Millionaires’ Row” in one area. After World War II, a great number of apartment buildings were constructed, changing the demographics. These two cultures are still reflected today.","Capitol Hill is funky and fast-paced, with an endless number of cool blocks to explore and, unfortunately, a limited number of parking spaces. During the day, markets, boutiques, and salons are a big draw. Nightlife is hopping with clubs, bars, and music venues, and you’ll often find coffee shops that moonlight as cocktail lounges. Individuality and fashion statements are encouraged, and there always seems to be some sort of block party or community forum to encourage residents and visitors to mix and mingle.","Since the area is known for its music scene, make sure to check out a concert at one of the venues like Neumo’s, pick through a record store like Sonic Boom, or do the extreme and attend the Capitol Hill Block Party in July. You can also say hello to the Jimi Hendrix statue on the corner of Broadway and Pine. If you’re into film, see a movie at the Landmark Harvard Exit– aclassic building turned into theaters.Despite being one of the most densely populated areas of the city, Capitol Hill also has a surprising amount of green space, including Volunteer Park, Cal Anderson Park, and Interlaken Park, not to mention the Washington Parks Arboretum on the northeast corner."
central-district,"The Central District is on the east side of Capitol Hill and is considered one of the oldest surviving residential neighborhoods in the city. Throughout its history it has seen many changes in demographics and politics, but has recently seen a period of new construction and community improvement projects.","The area was first cleared for development in the mid-1800s. It was the ideal place to settle because of its close proximity to the business district. Trees were logged and cable cars were installed, and many homes and buildings were constructed that remain historical landmarks today.At different times, the area was home to different cultural groups. First were European Americans, then Japanese, Jews, and African Americans. The Central District was an area of racial tension during the Civil Rights era, due to housing discrimination. In the years that followed, the community united to restore peace while maintaining the neighborhood’s cultural heritage.","The location of the Central District—well, it’s very central, you see. It doesn’t have a big business district of its own, but it borders Capitol Hill, First Hill, and the Madison Valley, all of which are hopping with activity.The community is very proud of its diversity; a festival is held yearly to “strengthen community pride, integrity, and spirituality while promoting cultural diversity throughout the Central District.”. Other organizations, like the Central District Forum for Arts and Ideas, devote their time to promoting the arts and culture of the African American community.","The infamous Skillet food truck expanded to its first actual restaurant here in the Central District—make sure you stop in for some of their crafty cuisine (they have bacon jam—need we say more?). The CD is also home to one of the only Ezell’s Fried Chicken places in the city. There is no shortage of food from many ethnicities, from Ethiopian to Spanish to Vietnamese and Haitian.The Central Cinema provides a dine-in movie watching experience, showing classic films and hosting cartoon happy hours. Not only are their prices cheap, but you can order food and have it delivered right to your seat (or couch) in the theater!The Bon Odori Festival is held every year in July to celebrate Japanese culture: arts and craft fairs, traditional music, martial arts, and dance are some of the main attractions."
denny-blaine,This fancy-pants neighborhood located to the east of Capitol Hill overlooks Lake Washington. Don’t be surprised to see gated driveways and meticulous landscaping!,"After the Madrona trolley line was built in the early 1900s, two land developers bought nearby property and started selling it to the many people who were eager to move to the shores of Lake Washington. Can you guess what these guys’ names were? That’s right—Denny and Blaine. Even though they apparently couldn’t come up with a more creative name for the area, it still prospered. Nearly every lot had a view of the lake, and a chain of parks was built from the top of the hill on down to the water. Today, most of the original homes (and all of the charm) remain.","Denny-Blaine is a haven for those who want a quiet, well-kept neighborhood that’s still relatively close to the city center. It’s strictly residential, so you won’t find a lively business district or many day visitors here. What you will find are stunning houses along meandering streets that end in cul-de-sacs.","Though Denny-Blaine has no business district to call its own, there is plenty to do in the surrounding neighborhoods like Madrona and Madison Park. Both of these areas are home to upscale restaurants and shops.What Denny-Blaine is really known for is its parks. There are three tiny ones within the confines of the neighborhood; one right along Lake Washington, one with its own pond, and a third, Viretta Park, that is just grass and a cool staircase is also sometimes referred to as Kurt’s Park (after Kurt Cobain, who used to live nearby). There is not much to see in Viretta Park, but the two benches are covered in tributes to Kurt Cobain."
downtown,"There is more to Seattle’s downtown than tall buildings and Pike Place Market. With its rich history and vibrant culture, Downtown is a cool place to live, too.","The original Downtown looked a lot different than it does today; wooden buildings, a saw mill, steeper hills. Two major events changed it all: the Seattle fire of 1889, which burned most of Downtown to the ground, and the Denny Regrade, a thirty-year-long project that tamed the slopes of Denny Hill. Add in the major growth of skyscrapers, roadways such as I-5 and the Alaskan Way Viaduct, and the Seattle Center, and you’ve literally got a city that has rebuilt itself out of the ashes.Many historic landmarks have been preserved however, like the Smith tower, Pioneer Square, and Pike Place Market. You can still take a tour of “underground Seattle” to see the remarkable still-intact structures that were just covered up and built on top of after the fire.","To say that the vibe here is “lively” seems like an understatement. Dynamic? That’s closer. Exuberant? Better still. Whatever word you choose to describe it, Downtown is the place to be if you want nonstop activity, love being surrounded by interesting people, and want to see something new every day. Obviously, there are major events going on here regularly, but it’s just as easy to find your own little hideaway that only a resident would know about.","This part shouldn’t be hard, but it is. How can we boil down the busiest neighborhood in the city to just a few recommended activities? Especially when they’re always changing, after all, and there are as many things to choose from as there are different tastes in hobbies?We could state the cultural stuff, like the Seattle Art Museum or the Symphony at Benaroya Hall. There are theaters and performance halls for every type of entertainment—the Paramount, 5th Avenue Theater, and the Showbox, just to name a few.Or we could mention the retail scene. If shopping is your thing, Westlake Center and Pacific Placehave a mix of high-end and regular retailers, not to mention all of the one-of-a-kind boutiques and home furnishing stores that line any given street in the area.Then there’s the touristy stuff. If you’re into sightseeing, spend an afternoon on the piers on the waterfront, or maybe take a tour on an Argosy cruise boat or at Let’s Go Sailing. The Smith Tower offers rides up to the observation deck so you can see the view of the whole city."
eastlake,"Which lake, you ask? I know, neighborhood namers really need to be more specific sometimes. Those ‘in the know’ are well aware that this cool neighborhood is right on the eastern side of Lake Union, which puts it at a prime location. Heck, you can even live in a houseboat if you want!","This area once played a big role in moving cargo from Elliot Bay and Downtown across Lake Washington. Most of the residents were people who worked in these important jobs. Once the city’s population began to grow, nicer homes were built for more wealthy dwellers, though they probably didn’t enjoy the nearby power plant’s seven smokestacks.It’s amazing to think that the first houseboats were more like “floating shanties” for migrant workers who helped to build the Lake Washington Ship Canal. Today, the residences are still small, but vary from modest to opulent.","For the past few decades, it’s been like one long episode of “Extreme Makeover: Neighborhood Edition” in Eastlake. Almost 60% of the residences there were built after 1980, most of them the kind of five-story apartment buildings with retail space on the ground level. It has probably the most eclectic, if not unusual, assortment ofarchitecturein Seattle, with floating homes, urban condos, turn-of-the-century homes, modern townhomes and old brick apartment buildings.This makes the area very fun and lively, both for residents and those who want to visit.","Obviously, there are lots of ways to get out and enjoy Lake Union here. There is a boat launch for kayaks and canoes, or you can join the Lake Union Crew squad. Many small parks dot the shore, including Fairview Park and Eastlake Bouledrome, which claims to have the best waterfront bocce ball in Seattle (though we can’t imagine there’s much competition for that title).It’s always fun to grab a table on the deck at one of the restaurants along the lake (like Eastlake Bar and Grill or Serafina) so you can watch the boats and seaplanes. If you’ve got the time, you can go on your very own seaplane ride and get a great view of Seattle, and Eastlake of course!"
first-hill,Guess which was the first hill to be inhabited after Downtown was all filled up? Yup. First Hill.,"Seattle’s elite were the original residents of First Hill, since they wanted to be close enough to all of the action of downtown but still have their privacy. Names like Haller (Haller Lake), Frye (Frye Art Museum), Carkeek (Carkeek Park), and Boeing (no description necessary) are some of the most familiar.The neighborhood was also once called “Profanity Hill” because of the exhausting hike from downtown, and is commonly called “Pill Hill” today, due to the high concentration of hospitals there. Hopefully you find yourself in First Hill for a reason other than being hospitalized!","In keeping with history, the attitude of this area continues to be “stay close to the action!” It’s an easy bus ride or walk down to the business district, and an equally short distance to the also-bustling Capitol Hill. It has its own little section of businesses along Madison Avenue that provide plenty of opportunities for dining, shopping, and people-watching.","Hopefully you’ll never have to head to First Hill to visit a hospital, although they do give top-rate medical care. Instead, try taking a tour of one of the historic mansions to get a taste for what the area was like in its early days. Or, view some classic paintings at the Frye Art Museum, which has the added bonus of free parking and admission! There’s always something going on at Town Hall, be it a concert, book talk by a published author, or community forum."
international-district,"Formerly known as Chinatown, the International District lies just south of the Downtown business district and is a rich cultural center with a vibrant atmosphere.","Since the 1880s, Chinese, Japanese, and Filipino immigrants have called this area their home. At several points throughout history, the community faced challenges caused by racial prejudices and encroaching settlement. For example, after the bombings in Pearl Harbor in 1942, the entire Japanese American population was removed to internment camps, and in the 1960s, the construction of I-5 literally cut the neighborhood in half.Luckily, many leaders stepped forward to protect and preserve the neighborhood’s people and culture. Wing Luke was the first Asian American to be elected into the King County Council in 1962, and the Seattle Chinatown-International District Public Development Authority was formed in 1975 to improve housing and services in the area. Today, the neighborhood remains a hub for the Asian American population.","This is arguably one of the most unique and proud neighborhoods in the city. Festivals and events are easy to come by, and there are year-round opportunities for exploring the cultural heritage of the people here. Visitors and residents often join together for celebrations and the prevailing attitude is that, no matter what, everyone should feel welcome here.","One of the major draws to the neighborhood is the Uwajimaya market, a huge specialty store with every type of food imaginable and tons of Asian-inspired trinkets. You can also let someone cook for you and sample dim sum, bubble tea, Chinese tea, and bakery goods from traditional restaurants.We mentioned festivals before, and there are almost too many to list. Some of the main events featured on the neighborhood website include the Lunar New Year celebration, the Moon Festival, and Bon Odori, one of the most important Buddhist holidays of the year.Immerse yourself in the history of the neighborhood by visiting one of the local museums or art galleries. You can even take a guided historical tour through Chinatown Discovery Tours."
leschi,"Off the beaten path, once you discover Leschi you’ll wonder why you’ve never heard of this lovely neighborhood before. Maybe because those “in the know” want to keep it as their little secret.","Hundreds of years ago, you would have found hunting and fishing parties of the Duwamish Tribe “home-basing it” in this protected area on the shores of Lake Washington. These early tribes had cleared out trails from this idyllic lake location, radiating out to Elliot Bay and Lake Union.Leschi’s name comes from Chief Leschi of the Nisqually nation. Although originally friendly to the American settlers, he along with other Indians became entangled in a bitter land dispute that culminated with the “Battle of Seattle” in 1856. The band of Indians used this trail from Leschi to the outskirts of the Seattle settlement, attacking and burning settler’s homes along the way. They were met with a US battleship docked in Elliott Bay that returned fire and caused the Indians to retreat.Slowly over time white settlers and entrepreneurs began laying claim to the area of Leschi – building cabins, an “entertainment center” for hunting, boating, and nature excursions, a saw mill, and a boat launch for exploration of the lake’s eastside. Once a cable car line was established in the late 1880s, this area became fully developed.","Perched atop Lake Washington with fantastic views, a harbor and a sweet business district, Leschi has a very casual, laidback feeling. Close to downtown, the scenic drive out to Leschi puts you in a relaxed state of mind – far from the frenzy of the city.","This area has two main attractions – an extensive park system and a bustling retail area. Leschi and Frink parks are interconnected and span down the hillside towards the lake. Offering terrific views, manicured greenspaces, playgrounds, extensive hiking trails and boat moorage – you can explore from land to lake. The business district gives you several dining options – Daniel’s Broiler, BluWater andPert’s Delioffer water views and/or outdoor dining. Stop at Starbucks for a coffee or the Leschi Market for picnic fare and wander along the water or up into the neighborhood."
